[kaggle_environments.envs.open_spiel_env.open_spiel_env] INFO: Successfully loaded OpenSpiel environments: 41.
[kaggle_environments.envs.open_spiel_env.open_spiel_env] INFO: OpenSpiel games skipped: 0.
Loading 42 agents: avikdas567_heuristic, biohack44_day2, daniilkrasnovvv_conservative_prob, jek1wantaufik_lucario, kiyotah_abomasnow, kiyotah_dragapult, kiyotah_iono, kojimar_lucario, makimakiai_rl, makthanithin_1084_baseline, makthanithin_improved_prob, mechi22_alakazam, pixiux_lucario_v63, plamen06_steel, pllinas_alakazam, prvsiyan_control_v11, prvsiyan_grimbelief_alakazam, romanrozen_strong_start, ryotasueyoshi_alakazam, tb_abomasnow, tb_alakazam, tb_archaludon, tb_dragapult, tb_heuristic, tb_iono, tb_lucario, tb_rulecore, tb_search, tb_starmie, wmh_alakazam, wmh_bellibolt, wmh_chandelure, wmh_froslass, wmh_garchomp, wmh_grimmsnarl, wmh_kangaskhan, wmh_megastarmie, wmh_mewtwo, wmh_ogerpon, wmh_trevenant, wmh_typhlosion, random_legal
[1/903] avikdas567_heuristic vs avikdas567_heuristic: avikdas567_heuristic 1-1  (2 games, 0.4s, 0.18s/game)
[449/903] pixiux_lucario_v63 vs tb_dragapult: pixiux_lucario_v63 1-5  (6 games, 2.1s, 0.35s/game)
[450/903] pixiux_lucario_v63 vs tb_heuristic: pixiux_lucario_v63 6-0  (6 games, 1.4s, 0.23s/game)
[451/903] pixiux_lucario_v63 vs tb_iono: pixiux_lucario_v63 3-3  (6 games, 2.3s, 0.38s/game)
[452/903] pixiux_lucario_v63 vs tb_lucario: pixiux_lucario_v63 4-1-1d  (6 games, 1.5s, 0.25s/game)
[453/903] pixiux_lucario_v63 vs tb_rulecore: pixiux_lucario_v63 5-0-1d  (6 games, 1.4s, 0.23s/game)
[454/903] pixiux_lucario_v63 vs tb_search: pixiux_lucario_v63 4-2  (6 games, 1.2s, 0.20s/game)
[455/903] pixiux_lucario_v63 vs tb_starmie: pixiux_lucario_v63 5-1  (6 games, 1.0s, 0.17s/game)
[456/903] pixiux_lucario_v63 vs wmh_alakazam: pixiux_lucario_v63 3-3  (6 games, 1.4s, 0.24s/game)
[457/903] pixiux_lucario_v63 vs wmh_bellibolt: pixiux_lucario_v63 6-0  (6 games, 1.5s, 0.24s/game)
[458/903] pixiux_lucario_v63 vs wmh_chandelure: pixiux_lucario_v63 5-1  (6 games, 1.0s, 0.17s/game)
[459/903] pixiux_lucario_v63 vs wmh_froslass: pixiux_lucario_v63 3-3  (6 games, 0.9s, 0.15s/game)
[460/903] pixiux_lucario_v63 vs wmh_garchomp: pixiux_lucario_v63 4-2  (6 games, 2.1s, 0.35s/game)
[461/903] pixiux_lucario_v63 vs wmh_grimmsnarl: pixiux_lucario_v63 6-0  (6 games, 1.2s, 0.19s/game)
[462/903] pixiux_lucario_v63 vs wmh_kangaskhan: pixiux_lucario_v63 6-0  (6 games, 1.1s, 0.18s/game)
[463/903] pixiux_lucario_v63 vs wmh_megastarmie: pixiux_lucario_v63 5-1  (6 games, 0.9s, 0.15s/game)
[464/903] pixiux_lucario_v63 vs wmh_mewtwo: pixiux_lucario_v63 6-0  (6 games, 1.6s, 0.27s/game)
[465/903] pixiux_lucario_v63 vs wmh_ogerpon: pixiux_lucario_v63 6-0  (6 games, 1.5s, 0.26s/game)
[466/903] pixiux_lucario_v63 vs wmh_trevenant: pixiux_lucario_v63 2-4  (6 games, 1.4s, 0.24s/game)
[467/903] pixiux_lucario_v63 vs wmh_typhlosion: pixiux_lucario_v63 5-1  (6 games, 1.4s, 0.23s/game)
[468/903] pixiux_lucario_v63 vs random_legal: pixiux_lucario_v63 6-0  (6 games, 0.5s, 0.08s/game)
[469/903] plamen06_steel vs plamen06_steel: plamen06_steel 0-2  (2 games, 0.6s, 0.28s/game)
[470/903] plamen06_steel vs pllinas_alakazam: plamen06_steel 0-6  (6 games, 7.8s, 1.29s/game)
[471/903] plamen06_steel vs prvsiyan_control_v11: plamen06_steel 2-4  (6 games, 1.1s, 0.19s/game)
[472/903] plamen06_steel vs prvsiyan_grimbelief_alakazam: plamen06_steel 5-1  (6 games, 1.2s, 0.20s/game)
[473/903] plamen06_steel vs romanrozen_strong_start: plamen06_steel 4-2  (6 games, 1.4s, 0.24s/game)
[474/903] plamen06_steel vs ryotasueyoshi_alakazam: plamen06_steel 2-4  (6 games, 1.1s, 0.18s/game)
[475/903] plamen06_steel vs tb_abomasnow: plamen06_steel 6-0  (6 games, 0.5s, 0.08s/game)
[476/903] plamen06_steel vs tb_alakazam: plamen06_steel 3-3  (6 games, 1.2s, 0.20s/game)
[477/903] plamen06_steel vs tb_archaludon: plamen06_steel 4-2  (6 games, 1.2s, 0.20s/game)
[478/903] plamen06_steel vs tb_dragapult: plamen06_steel 5-1  (6 games, 1.4s, 0.23s/game)
[479/903] plamen06_steel vs tb_heuristic: plamen06_steel 6-0  (6 games, 1.4s, 0.24s/game)
[480/903] plamen06_steel vs tb_iono: plamen06_steel 5-1  (6 games, 2.5s, 0.42s/game)
[481/903] plamen06_steel vs tb_lucario: plamen06_steel 5-1  (6 games, 1.1s, 0.18s/game)
[482/903] plamen06_steel vs tb_rulecore: plamen06_steel 4-2  (6 games, 1.4s, 0.23s/game)
[483/903] plamen06_steel vs tb_search: plamen06_steel 6-0  (6 games, 1.2s, 0.20s/game)
[484/903] plamen06_steel vs tb_starmie: plamen06_steel 6-0  (6 games, 0.7s, 0.12s/game)
[485/903] plamen06_steel vs wmh_alakazam: plamen06_steel 3-3  (6 games, 1.2s, 0.19s/game)
[486/903] plamen06_steel vs wmh_bellibolt: plamen06_steel 5-1  (6 games, 1.7s, 0.29s/game)
[487/903] plamen06_steel vs wmh_chandelure: plamen06_steel 6-0  (6 games, 1.2s, 0.19s/game)
[488/903] plamen06_steel vs wmh_froslass: plamen06_steel 6-0  (6 games, 0.8s, 0.14s/game)
[489/903] plamen06_steel vs wmh_garchomp: plamen06_steel 6-0  (6 games, 1.6s, 0.26s/game)
[490/903] plamen06_steel vs wmh_grimmsnarl: plamen06_steel 6-0  (6 games, 2.0s, 0.33s/game)
[491/903] plamen06_steel vs wmh_kangaskhan: plamen06_steel 5-1  (6 games, 1.2s, 0.20s/game)
[492/903] plamen06_steel vs wmh_megastarmie: plamen06_steel 4-2  (6 games, 1.1s, 0.18s/game)
[493/903] plamen06_steel vs wmh_mewtwo: plamen06_steel 6-0  (6 games, 1.5s, 0.24s/game)
[494/903] plamen06_steel vs wmh_ogerpon: plamen06_steel 4-2  (6 games, 2.1s, 0.36s/game)
[495/903] plamen06_steel vs wmh_trevenant: plamen06_steel 6-0  (6 games, 1.5s, 0.25s/game)
[496/903] plamen06_steel vs wmh_typhlosion: plamen06_steel 6-0  (6 games, 1.6s, 0.26s/game)
[497/903] plamen06_steel vs random_legal: plamen06_steel 6-0  (6 games, 0.5s, 0.08s/game)
[498/903] pllinas_alakazam vs pllinas_alakazam: pllinas_alakazam 1-1  (2 games, 4.2s, 2.08s/game)
[499/903] pllinas_alakazam vs prvsiyan_control_v11: pllinas_alakazam 2-4  (6 games, 8.9s, 1.48s/game)
[500/903] pllinas_alakazam vs prvsiyan_grimbelief_alakazam: pllinas_alakazam 5-1  (6 games, 7.4s, 1.23s/game)
[501/903] pllinas_alakazam vs romanrozen_strong_start: pllinas_alakazam 5-1  (6 games, 5.8s, 0.96s/game)
[502/903] pllinas_alakazam vs ryotasueyoshi_alakazam: pllinas_alakazam 5-1  (6 games, 10.8s, 1.80s/game)
[503/903] pllinas_alakazam vs tb_abomasnow: pllinas_alakazam 6-0  (6 games, 6.0s, 1.00s/game)
[504/903] pllinas_alakazam vs tb_alakazam: pllinas_alakazam 5-1  (6 games, 6.1s, 1.02s/game)
[505/903] pllinas_alakazam vs tb_archaludon: pllinas_alakazam 5-1  (6 games, 7.7s, 1.28s/game)
[506/903] pllinas_alakazam vs tb_dragapult: pllinas_alakazam 3-3  (6 games, 6.8s, 1.13s/game)
[507/903] pllinas_alakazam vs tb_heuristic: pllinas_alakazam 6-0  (6 games, 4.9s, 0.82s/game)
[508/903] pllinas_alakazam vs tb_iono: pllinas_alakazam 4-2  (6 games, 38.1s, 6.35s/game)
[509/903] pllinas_alakazam vs tb_lucario: pllinas_alakazam 5-1  (6 games, 5.9s, 0.99s/game)
[510/903] pllinas_alakazam vs tb_rulecore: pllinas_alakazam 6-0  (6 games, 5.9s, 0.98s/game)
[511/903] pllinas_alakazam vs tb_search: pllinas_alakazam 6-0  (6 games, 9.4s, 1.57s/game)
[512/903] pllinas_alakazam vs tb_starmie: pllinas_alakazam 6-0  (6 games, 3.1s, 0.52s/game)
[513/903] pllinas_alakazam vs wmh_alakazam: pllinas_alakazam 4-2  (6 games, 7.6s, 1.26s/game)
[514/903] pllinas_alakazam vs wmh_bellibolt: pllinas_alakazam 6-0  (6 games, 12.3s, 2.05s/game)
[515/903] pllinas_alakazam vs wmh_chandelure: pllinas_alakazam 5-1  (6 games, 6.9s, 1.14s/game)
[516/903] pllinas_alakazam vs wmh_froslass: pllinas_alakazam 4-2  (6 games, 5.6s, 0.93s/game)
[517/903] pllinas_alakazam vs wmh_garchomp: pllinas_alakazam 4-2  (6 games, 9.7s, 1.62s/game)
[518/903] pllinas_alakazam vs wmh_grimmsnarl: pllinas_alakazam 6-0  (6 games, 12.9s, 2.15s/game)
[519/903] pllinas_alakazam vs wmh_kangaskhan: pllinas_alakazam 6-0  (6 games, 6.2s, 1.04s/game)
[520/903] pllinas_alakazam vs wmh_megastarmie: pllinas_alakazam 3-3  (6 games, 4.4s, 0.73s/game)
[521/903] pllinas_alakazam vs wmh_mewtwo: pllinas_alakazam 5-1  (6 games, 9.7s, 1.62s/game)
[522/903] pllinas_alakazam vs wmh_ogerpon: pllinas_alakazam 6-0  (6 games, 9.0s, 1.49s/game)
[523/903] pllinas_alakazam vs wmh_trevenant: pllinas_alakazam 5-1  (6 games, 7.2s, 1.20s/game)
[524/903] pllinas_alakazam vs wmh_typhlosion: pllinas_alakazam 6-0  (6 games, 8.7s, 1.45s/game)
[525/903] pllinas_alakazam vs random_legal: pllinas_alakazam 6-0  (6 games, 2.7s, 0.44s/game)
[526/903] prvsiyan_control_v11 vs prvsiyan_control_v11: prvsiyan_control_v11 2-0  (2 games, 0.4s, 0.20s/game)
[527/903] prvsiyan_control_v11 vs prvsiyan_grimbelief_alakazam: prvsiyan_control_v11 5-1  (6 games, 4.9s, 0.82s/game)
[528/903] prvsiyan_control_v11 vs romanrozen_strong_start: prvsiyan_control_v11 4-2  (6 games, 1.4s, 0.23s/game)
[529/903] prvsiyan_control_v11 vs ryotasueyoshi_alakazam: prvsiyan_control_v11 3-3  (6 games, 1.3s, 0.21s/game)
[530/903] prvsiyan_control_v11 vs tb_abomasnow: prvsiyan_control_v11 6-0  (6 games, 1.1s, 0.19s/game)
[531/903] prvsiyan_control_v11 vs tb_alakazam: prvsiyan_control_v11 6-0  (6 games, 1.5s, 0.24s/game)
[532/903] prvsiyan_control_v11 vs tb_archaludon: prvsiyan_control_v11 3-3  (6 games, 1.5s, 0.25s/game)
[533/903] prvsiyan_control_v11 vs tb_dragapult: prvsiyan_control_v11 4-2  (6 games, 2.8s, 0.47s/game)
[534/903] prvsiyan_control_v11 vs tb_heuristic: prvsiyan_control_v11 6-0  (6 games, 1.5s, 0.25s/game)
[535/903] prvsiyan_control_v11 vs tb_iono: prvsiyan_control_v11 0-6  (6 games, 2.0s, 0.34s/game)
[536/903] prvsiyan_control_v11 vs tb_lucario: prvsiyan_control_v11 4-2  (6 games, 1.4s, 0.23s/game)
[537/903] prvsiyan_control_v11 vs tb_rulecore: prvsiyan_control_v11 6-0  (6 games, 1.6s, 0.27s/game)
[538/903] prvsiyan_control_v11 vs tb_search: prvsiyan_control_v11 4-2  (6 games, 1.0s, 0.17s/game)
[539/903] prvsiyan_control_v11 vs tb_starmie: prvsiyan_control_v11 5-1  (6 games, 1.8s, 0.29s/game)
[540/903] prvsiyan_control_v11 vs wmh_alakazam: prvsiyan_control_v11 3-3  (6 games, 1.4s, 0.24s/game)
[541/903] prvsiyan_control_v11 vs wmh_bellibolt: prvsiyan_control_v11 2-4  (6 games, 2.1s, 0.35s/game)
[542/903] prvsiyan_control_v11 vs wmh_chandelure: prvsiyan_control_v11 4-2  (6 games, 1.5s, 0.25s/game)
[543/903] prvsiyan_control_v11 vs wmh_froslass: prvsiyan_control_v11 3-3  (6 games, 2.0s, 0.33s/game)
[544/903] prvsiyan_control_v11 vs wmh_garchomp: prvsiyan_control_v11 6-0  (6 games, 1.6s, 0.27s/game)
[545/903] prvsiyan_control_v11 vs wmh_grimmsnarl: prvsiyan_control_v11 4-2  (6 games, 1.9s, 0.32s/game)
[546/903] prvsiyan_control_v11 vs wmh_kangaskhan: prvsiyan_control_v11 6-0  (6 games, 2.0s, 0.33s/game)
[547/903] prvsiyan_control_v11 vs wmh_megastarmie: prvsiyan_control_v11 3-3  (6 games, 1.6s, 0.26s/game)
[548/903] prvsiyan_control_v11 vs wmh_mewtwo: prvsiyan_control_v11 6-0  (6 games, 1.4s, 0.23s/game)
[549/903] prvsiyan_control_v11 vs wmh_ogerpon: prvsiyan_control_v11 6-0  (6 games, 1.6s, 0.27s/game)
[550/903] prvsiyan_control_v11 vs wmh_trevenant: prvsiyan_control_v11 5-1  (6 games, 1.5s, 0.25s/game)
[551/903] prvsiyan_control_v11 vs wmh_typhlosion: prvsiyan_control_v11 0-6  (6 games, 1.1s, 0.18s/game)
[552/903] prvsiyan_control_v11 vs random_legal: prvsiyan_control_v11 5-1  (6 games, 1.2s, 0.20s/game)
[553/903] prvsiyan_grimbelief_alakazam vs prvsiyan_grimbelief_alakazam: prvsiyan_grimbelief_alakazam 1-1  (2 games, 1.2s, 0.61s/game)
[554/903] prvsiyan_grimbelief_alakazam vs romanrozen_strong_start: prvsiyan_grimbelief_alakazam 0-6  (6 games, 2.3s, 0.39s/game)
[555/903] prvsiyan_grimbelief_alakazam vs ryotasueyoshi_alakazam: prvsiyan_grimbelief_alakazam 2-4  (6 games, 3.1s, 0.52s/game)
[556/903] prvsiyan_grimbelief_alakazam vs tb_abomasnow: prvsiyan_grimbelief_alakazam 0-6  (6 games, 1.6s, 0.27s/game)
[557/903] prvsiyan_grimbelief_alakazam vs tb_alakazam: prvsiyan_grimbelief_alakazam 0-6  (6 games, 2.6s, 0.43s/game)
[558/903] prvsiyan_grimbelief_alakazam vs tb_archaludon: prvsiyan_grimbelief_alakazam 0-6  (6 games, 1.2s, 0.20s/game)
[559/903] prvsiyan_grimbelief_alakazam vs tb_dragapult: prvsiyan_grimbelief_alakazam 0-6  (6 games, 2.7s, 0.45s/game)
[560/903] prvsiyan_grimbelief_alakazam vs tb_heuristic: prvsiyan_grimbelief_alakazam 1-5  (6 games, 1.5s, 0.25s/game)
[561/903] prvsiyan_grimbelief_alakazam vs tb_iono: prvsiyan_grimbelief_alakazam 0-6  (6 games, 3.1s, 0.52s/game)
[562/903] prvsiyan_grimbelief_alakazam vs tb_lucario: prvsiyan_grimbelief_alakazam 1-5  (6 games, 1.6s, 0.26s/game)
[563/903] prvsiyan_grimbelief_alakazam vs tb_rulecore: prvsiyan_grimbelief_alakazam 1-5  (6 games, 1.8s, 0.30s/game)
[564/903] prvsiyan_grimbelief_alakazam vs tb_search: prvsiyan_grimbelief_alakazam 3-3  (6 games, 2.5s, 0.42s/game)
[565/903] prvsiyan_grimbelief_alakazam vs tb_starmie: prvsiyan_grimbelief_alakazam 1-5  (6 games, 4.1s, 0.68s/game)
[566/903] prvsiyan_grimbelief_alakazam vs wmh_alakazam: prvsiyan_grimbelief_alakazam 1-5  (6 games, 2.8s, 0.46s/game)
[567/903] prvsiyan_grimbelief_alakazam vs wmh_bellibolt: prvsiyan_grimbelief_alakazam 2-4  (6 games, 3.2s, 0.54s/game)
[568/903] prvsiyan_grimbelief_alakazam vs wmh_chandelure: prvsiyan_grimbelief_alakazam 3-3  (6 games, 3.6s, 0.61s/game)
[569/903] prvsiyan_grimbelief_alakazam vs wmh_froslass: prvsiyan_grimbelief_alakazam 1-5  (6 games, 1.7s, 0.28s/game)
[570/903] prvsiyan_grimbelief_alakazam vs wmh_garchomp: prvsiyan_grimbelief_alakazam 0-6  (6 games, 2.1s, 0.35s/game)
[571/903] prvsiyan_grimbelief_alakazam vs wmh_grimmsnarl: prvsiyan_grimbelief_alakazam 2-4  (6 games, 2.9s, 0.49s/game)
[572/903] prvsiyan_grimbelief_alakazam vs wmh_kangaskhan: prvsiyan_grimbelief_alakazam 4-2  (6 games, 1.9s, 0.32s/game)
[573/903] prvsiyan_grimbelief_alakazam vs wmh_megastarmie: prvsiyan_grimbelief_alakazam 1-5  (6 games, 1.9s, 0.31s/game)
[574/903] prvsiyan_grimbelief_alakazam vs wmh_mewtwo: prvsiyan_grimbelief_alakazam 5-1  (6 games, 2.8s, 0.46s/game)
[575/903] prvsiyan_grimbelief_alakazam vs wmh_ogerpon: prvsiyan_grimbelief_alakazam 5-1  (6 games, 4.0s, 0.67s/game)
[576/903] prvsiyan_grimbelief_alakazam vs wmh_trevenant: prvsiyan_grimbelief_alakazam 0-6  (6 games, 1.5s, 0.25s/game)
[577/903] prvsiyan_grimbelief_alakazam vs wmh_typhlosion: prvsiyan_grimbelief_alakazam 0-6  (6 games, 3.2s, 0.54s/game)
[578/903] prvsiyan_grimbelief_alakazam vs random_legal: prvsiyan_grimbelief_alakazam 6-0  (6 games, 2.4s, 0.39s/game)
[579/903] romanrozen_strong_start vs romanrozen_strong_start: romanrozen_strong_start 1-1  (2 games, 0.5s, 0.24s/game)
[580/903] romanrozen_strong_start vs ryotasueyoshi_alakazam: romanrozen_strong_start 4-2  (6 games, 1.8s, 0.30s/game)
[581/903] romanrozen_strong_start vs tb_abomasnow: romanrozen_strong_start 5-1  (6 games, 0.4s, 0.07s/game)
[582/903] romanrozen_strong_start vs tb_alakazam: romanrozen_strong_start 1-5  (6 games, 1.4s, 0.24s/game)
[583/903] romanrozen_strong_start vs tb_archaludon: romanrozen_strong_start 5-1  (6 games, 0.9s, 0.15s/game)
[584/903] romanrozen_strong_start vs tb_dragapult: romanrozen_strong_start 5-1  (6 games, 1.8s, 0.30s/game)
[585/903] romanrozen_strong_start vs tb_heuristic: romanrozen_strong_start 6-0  (6 games, 1.4s, 0.24s/game)
[586/903] romanrozen_strong_start vs tb_iono: romanrozen_strong_start 6-0  (6 games, 1.0s, 0.16s/game)
[587/903] romanrozen_strong_start vs tb_lucario: romanrozen_strong_start 4-2  (6 games, 1.4s, 0.24s/game)
[588/903] romanrozen_strong_start vs tb_rulecore: romanrozen_strong_start 4-2  (6 games, 1.1s, 0.18s/game)
[589/903] romanrozen_strong_start vs tb_search: romanrozen_strong_start 6-0  (6 games, 1.2s, 0.20s/game)
[590/903] romanrozen_strong_start vs tb_starmie: romanrozen_strong_start 6-0  (6 games, 0.8s, 0.14s/game)
[591/903] romanrozen_strong_start vs wmh_alakazam: romanrozen_strong_start 2-4  (6 games, 1.0s, 0.17s/game)
[592/903] romanrozen_strong_start vs wmh_bellibolt: romanrozen_strong_start 6-0  (6 games, 1.2s, 0.20s/game)
[593/903] romanrozen_strong_start vs wmh_chandelure: romanrozen_strong_start 6-0  (6 games, 0.8s, 0.14s/game)
[594/903] romanrozen_strong_start vs wmh_froslass: romanrozen_strong_start 2-4  (6 games, 1.3s, 0.22s/game)
[595/903] romanrozen_strong_start vs wmh_garchomp: romanrozen_strong_start 2-4  (6 games, 1.6s, 0.27s/game)
[596/903] romanrozen_strong_start vs wmh_grimmsnarl: romanrozen_strong_start 6-0  (6 games, 1.5s, 0.25s/game)
[597/903] romanrozen_strong_start vs wmh_kangaskhan: romanrozen_strong_start 6-0  (6 games, 1.0s, 0.17s/game)
[598/903] romanrozen_strong_start vs wmh_megastarmie: romanrozen_strong_start 5-1  (6 games, 1.1s, 0.18s/game)
[599/903] romanrozen_strong_start vs wmh_mewtwo: romanrozen_strong_start 6-0  (6 games, 1.6s, 0.26s/game)
[600/903] romanrozen_strong_start vs wmh_ogerpon: romanrozen_strong_start 6-0  (6 games, 1.3s, 0.22s/game)
[601/903] romanrozen_strong_start vs wmh_trevenant: romanrozen_strong_start 2-4  (6 games, 1.6s, 0.26s/game)
[602/903] romanrozen_strong_start vs wmh_typhlosion: romanrozen_strong_start 6-0  (6 games, 1.7s, 0.28s/game)
[603/903] romanrozen_strong_start vs random_legal: romanrozen_strong_start 6-0  (6 games, 0.6s, 0.09s/game)
[604/903] ryotasueyoshi_alakazam vs ryotasueyoshi_alakazam: ryotasueyoshi_alakazam 1-1  (2 games, 0.4s, 0.21s/game)
[605/903] ryotasueyoshi_alakazam vs tb_abomasnow: ryotasueyoshi_alakazam 4-2  (6 games, 0.9s, 0.15s/game)
[606/903] ryotasueyoshi_alakazam vs tb_alakazam: ryotasueyoshi_alakazam 3-3  (6 games, 1.6s, 0.26s/game)
[607/903] ryotasueyoshi_alakazam vs tb_archaludon: ryotasueyoshi_alakazam 3-3  (6 games, 1.5s, 0.25s/game)
[608/903] ryotasueyoshi_alakazam vs tb_dragapult: ryotasueyoshi_alakazam 2-4  (6 games, 1.4s, 0.23s/game)
[609/903] ryotasueyoshi_alakazam vs tb_heuristic: ryotasueyoshi_alakazam 5-1  (6 games, 1.9s, 0.31s/game)
[610/903] ryotasueyoshi_alakazam vs tb_iono: ryotasueyoshi_alakazam 3-3  (6 games, 2.7s, 0.45s/game)
[611/903] ryotasueyoshi_alakazam vs tb_lucario: ryotasueyoshi_alakazam 4-2  (6 games, 1.6s, 0.27s/game)
[612/903] ryotasueyoshi_alakazam vs tb_rulecore: ryotasueyoshi_alakazam 6-0  (6 games, 1.5s, 0.24s/game)
[613/903] ryotasueyoshi_alakazam vs tb_search: ryotasueyoshi_alakazam 5-1  (6 games, 1.4s, 0.24s/game)
[614/903] ryotasueyoshi_alakazam vs tb_starmie: ryotasueyoshi_alakazam 4-2  (6 games, 1.2s, 0.21s/game)
[615/903] ryotasueyoshi_alakazam vs wmh_alakazam: ryotasueyoshi_alakazam 2-4  (6 games, 1.8s, 0.29s/game)
[616/903] ryotasueyoshi_alakazam vs wmh_bellibolt: ryotasueyoshi_alakazam 6-0  (6 games, 1.6s, 0.26s/game)
[617/903] ryotasueyoshi_alakazam vs wmh_chandelure: ryotasueyoshi_alakazam 4-2  (6 games, 1.4s, 0.23s/game)
[618/903] ryotasueyoshi_alakazam vs wmh_froslass: ryotasueyoshi_alakazam 5-1  (6 games, 1.2s, 0.21s/game)
[619/903] ryotasueyoshi_alakazam vs wmh_garchomp: ryotasueyoshi_alakazam 1-5  (6 games, 1.6s, 0.26s/game)
[620/903] ryotasueyoshi_alakazam vs wmh_grimmsnarl: ryotasueyoshi_alakazam 5-1  (6 games, 1.8s, 0.31s/game)
[621/903] ryotasueyoshi_alakazam vs wmh_kangaskhan: ryotasueyoshi_alakazam 4-2  (6 games, 1.5s, 0.25s/game)
[622/903] ryotasueyoshi_alakazam vs wmh_megastarmie: ryotasueyoshi_alakazam 3-3  (6 games, 0.9s, 0.15s/game)
[623/903] ryotasueyoshi_alakazam vs wmh_mewtwo: ryotasueyoshi_alakazam 2-4  (6 games, 1.9s, 0.32s/game)
[624/903] ryotasueyoshi_alakazam vs wmh_ogerpon: ryotasueyoshi_alakazam 6-0  (6 games, 2.0s, 0.34s/game)
[625/903] ryotasueyoshi_alakazam vs wmh_trevenant: ryotasueyoshi_alakazam 3-3  (6 games, 1.4s, 0.24s/game)
[626/903] ryotasueyoshi_alakazam vs wmh_typhlosion: ryotasueyoshi_alakazam 6-0  (6 games, 2.0s, 0.33s/game)
[627/903] ryotasueyoshi_alakazam vs random_legal: ryotasueyoshi_alakazam 5-1  (6 games, 0.9s, 0.15s/game)
[628/903] tb_abomasnow vs tb_abomasnow: tb_abomasnow 2-0  (2 games, 0.1s, 0.04s/game)
[629/903] tb_abomasnow vs tb_alakazam: tb_abomasnow 2-4  (6 games, 1.0s, 0.17s/game)
[630/903] tb_abomasnow vs tb_archaludon: tb_abomasnow 3-3  (6 games, 0.8s, 0.14s/game)
[631/903] tb_abomasnow vs tb_dragapult: tb_abomasnow 3-3  (6 games, 1.1s, 0.19s/game)
[632/903] tb_abomasnow vs tb_heuristic: tb_abomasnow 5-1  (6 games, 1.0s, 0.17s/game)
[633/903] tb_abomasnow vs tb_iono: tb_abomasnow 1-5  (6 games, 2.1s, 0.36s/game)
[634/903] tb_abomasnow vs tb_lucario: tb_abomasnow 6-0  (6 games, 0.9s, 0.15s/game)
[635/903] tb_abomasnow vs tb_rulecore: tb_abomasnow 4-2  (6 games, 0.7s, 0.11s/game)
[636/903] tb_abomasnow vs tb_search: tb_abomasnow 5-1  (6 games, 0.7s, 0.12s/game)
[637/903] tb_abomasnow vs tb_starmie: tb_abomasnow 6-0  (6 games, 0.6s, 0.11s/game)
[638/903] tb_abomasnow vs wmh_alakazam: tb_abomasnow 3-3  (6 games, 0.8s, 0.14s/game)
[639/903] tb_abomasnow vs wmh_bellibolt: tb_abomasnow 5-1  (6 games, 1.4s, 0.23s/game)
[640/903] tb_abomasnow vs wmh_chandelure: tb_abomasnow 3-3  (6 games, 0.9s, 0.15s/game)
[641/903] tb_abomasnow vs wmh_froslass: tb_abomasnow 5-1  (6 games, 0.6s, 0.09s/game)
[642/903] tb_abomasnow vs wmh_garchomp: tb_abomasnow 3-3  (6 games, 1.1s, 0.18s/game)
[643/903] tb_abomasnow vs wmh_grimmsnarl: tb_abomasnow 6-0  (6 games, 1.4s, 0.23s/game)
[644/903] tb_abomasnow vs wmh_kangaskhan: tb_abomasnow 6-0  (6 games, 0.8s, 0.13s/game)
[645/903] tb_abomasnow vs wmh_megastarmie: tb_abomasnow 4-2  (6 games, 0.6s, 0.09s/game)
[646/903] tb_abomasnow vs wmh_mewtwo: tb_abomasnow 6-0  (6 games, 0.8s, 0.13s/game)
[647/903] tb_abomasnow vs wmh_ogerpon: tb_abomasnow 5-1  (6 games, 1.5s, 0.25s/game)
[648/903] tb_abomasnow vs wmh_trevenant: tb_abomasnow 2-4  (6 games, 1.0s, 0.16s/game)
[649/903] tb_abomasnow vs wmh_typhlosion: tb_abomasnow 3-3  (6 games, 1.5s, 0.24s/game)
[650/903] tb_abomasnow vs random_legal: tb_abomasnow 6-0  (6 games, 0.4s, 0.07s/game)
[651/903] tb_alakazam vs tb_alakazam: tb_alakazam 0-2  (2 games, 0.7s, 0.33s/game)
[652/903] tb_alakazam vs tb_archaludon: tb_alakazam 3-3  (6 games, 1.5s, 0.25s/game)
[653/903] tb_alakazam vs tb_dragapult: tb_alakazam 4-2  (6 games, 1.9s, 0.31s/game)
[654/903] tb_alakazam vs tb_heuristic: tb_alakazam 6-0  (6 games, 1.4s, 0.23s/game)
[655/903] tb_alakazam vs tb_iono: tb_alakazam 2-4  (6 games, 2.4s, 0.40s/game)
[656/903] tb_alakazam vs tb_lucario: tb_alakazam 3-3  (6 games, 1.0s, 0.17s/game)
[657/903] tb_alakazam vs tb_rulecore: tb_alakazam 3-3  (6 games, 1.3s, 0.22s/game)
[658/903] tb_alakazam vs tb_search: tb_alakazam 6-0  (6 games, 1.5s, 0.25s/game)
[659/903] tb_alakazam vs tb_starmie: tb_alakazam 5-1  (6 games, 1.3s, 0.22s/game)
[660/903] tb_alakazam vs wmh_alakazam: tb_alakazam 1-5  (6 games, 1.7s, 0.28s/game)
[661/903] tb_alakazam vs wmh_bellibolt: tb_alakazam 4-2  (6 games, 1.5s, 0.24s/game)
[662/903] tb_alakazam vs wmh_chandelure: tb_alakazam 2-4  (6 games, 1.3s, 0.22s/game)
[663/903] tb_alakazam vs wmh_froslass: tb_alakazam 5-1  (6 games, 1.1s, 0.18s/game)
